category,text
koctas," Koçtaş 24 Nisan'da sipariş ettiğim erzak dolabını ertesi gün iptal ettirmeme rağmen ücret iadesini 08 05 2023'e kadar henüz yapmadı.1031249297 numaralı sipariş 13 gün oldu. Sözde 5 iş gününde ücret iadesi yapılıyormuş. Hani nerede müşteri memnuniyeti. "
koctas," Koçtaş genel müdürlüğüne Konya'da bulunan mağazanızda engelliler için çıkış yok! Akülü bir vatandaşın alışveriş sonrası çıkamıyor! Lütfen il müdürlüğü gereğini yapsın. Gereğin yapılmasını arz ederim Akıncılar, Sille CD. No:4, 42100 Selçuklu/Konya "
koctas," 27 Nisan'da kargoya verilen Koçtaş'tan aldığım kitaplık hala yolda gözüküyor. Hala evimize gelecek ne müşteri temsilcilerine ulaşabiliyoruz ne de doğru düzgün bir yanıt alabiliyoruz. İptal seçeneği bile koymamışlar bu ilk değil. Daha önce de aldığım mutfak masası da yine internet üzerinden aldım, 2 hafta geçti. Kargoya bile verme tenezzülünde bulunmadılar şimdiki. Kitaplık 8 Mayıs olmasına rağmen hala kargoda, hala gelecek. Şikayetçiyim. Hayır iptal edebilsem gideceğim mağazasından alacağım ama nedense iki güne teslim edilir ibaresi bizi hep yanlış nedense hep yalan. Koçtaş internet kargo kesinlikle insanlarla dalga geçen bir kurumdur. Bilginize. "
koctas," 13.04.2023 tarihinde 1030915801 sipariş numarası ile siparişini verdiğim ""25 Çap Süngerlikli Küvet Tutamağı "" ürünüm en geç 24 Nisan tarihine kadar kargoya verileceği yazmasına rağmen, defalarca aramama ve talep yazısı oluşturmama rağmen ürünüm; bırakın kargoya verilmesini bir cevap dahi verilmedi, dönüş yapılmadı. Müşteri hizmetleri de 2 haftadır sürekli ""ilkili üst birime iletildi dönüş yapılacak"" şeklinde cevap veriliyor. Sonuç sıfır... Böyle saçma hizmet anlayışı ve satış politikası olmaz. "
koctas," 1031567956 numaralı (Seramiksan Petite Rim-Out Duvara Tam Dayalı Klozet +Nkp Fiesta Soft Kapak) siparişim asma klozet olarak yanlış geldi.1031569803 numaralı (Petite Kanallı Asma Klozet+Nkp Yavaş Kapanır Kapak) siparişim de Yavaş Kapanır Kapak eksik teslim edildi.Banyom tadilatta olduğundan ve tadilatın sonuna gelindiğinden, aciliyetli bir durum varken tam bir fiyaskoyla karşı karşıya kaldık. Kurumsal firma olması zaman kaybı yaşamadan, sorunla karşılaşmadan ürünü en kısa sürede sağlam teslim alabilmek adına Koçtaş 'ı tercih ettik yanılmışız. İade ve eksik ürün kaydı açtırdık ancak sorunun çözümünde zaman olarak öngörülerinin olmadıklarını ilettiler. Kurumsal firma müşterisini bu denli muallakta bırakmamalı! Sorunumun ek kısa sürede çözüme kavuşturulmasını talep ediyorum. "
koctas," Dün Koçtaş’tan alınan mutfak musluğu pencere açılmıyor gerekçesi ile bugün geri götürüldü. Kemerburgaz Koçtaş Fix'te çalışan Çiğdem adlı arkadaş içinde su geçti diye geri almadı. Koçtaş olarak çözüm merkezindeki arkadaşımızda bir çözüm üretemedi. Ucuz olmayan bu musluğu ne yapacağız? Nasıl bir anlayıştır acaba? Tüketici Hakları'na başvuruyorum… "
koctas," Koçtaş'ta iptal ettiğim siparişimin para iadesi hala yapılmadı, sürekli iptal aşamasında olduğu söyleniyor canlı desteğe asla bağlanılmıyor. Bir hafta oldu hiçbir şekilde iletişim kuramıyorum sadece süreç tamamlandığında SMS ile bilgilendirileceksiniz diyorlar başka bilgi vermiyorlar "
koctas," 29.04.2023 tarihinde internet üzerinden verdiğim ürün siparişini ürünü değiştirmek için hemen iptal etmeme rağmen ücret iadesi kartıma yansımamıştır. 04.05.2023 tarihinde müşteri hizmetleri ile görüşmeme ve 06.05.2023 tarihinde mobil uygulama üzerinden mesaj yazmama rağmen iade yapılmamıştır. Koçtaş tan yaptığım alışverişten pişmanlık duymaktayım. "
koctas," Koçtaş 04/04/2023'te TV sehpası (sipariş no :1030615248) aldık ürün uyumsuz olduğu için iade ettik o gün bu gündür farklı bilgi veren çağrı merkezi elamanlarıyla uğraşıyoruz biri 48 saatte yatar diyor biri 14 gün içinde geçer diyor mağazadaki hanımefendi iadeyi gelip buradan alacaksınız size mesaj gelmesini bekleyin diyor. "
koctas," Koçtaş internet sitesinden aldığım 1031236107 numaralı siparişimi 27.04.2023 tarihinde iptal etmeme rağmen 11 gündür ücret iadem yapılmadı. Hukuki yollara başvurmayı düşünüyorum. Artık Koçtaş gibi kurumsal bir firmaya böyle bir durum hiç yakışmıyor. Ücret iademi acilen talep ediyorum "
